id,name,artist_genres,artist_image
7AcV1lk8Zrgo1691PDWEle,Freshlyground,african rock,https://i.scdn.co/image/cdc8cf94774db4f0066ca1f90eb3fda45955a420
4F7Q5NV6h5TSwCainz8S5A,Duke Ellington,african-american classical,https://i.scdn.co/image/1e24691a352233bbe989a311d921f17e7892a87e
0kbYTNQb4Pb1rPbbaF0pT4,Miles Davis,cool jazz,https://i.scdn.co/image/423e826b3c1b23930a255d7cbc2daf733f795507
3uO6HG2JwyP744sg4PMmg5,Bobby Hutcherson,contemporary post-bop,https://i.scdn.co/image/2feeacbeaf729049fed34151b4ffe44a2a4d565d
3rxeQlsv0Sc2nyYaZ5W71T,Chet Baker,cool jazz,https://i.scdn.co/image/8fd767aa91ecd8e5720b424812e2a17586834ac2
3hzRU8Kz271vNsnWJyTBZK,Ben Webster & Oscar Peterson,,https://i.scdn.co/image/ab67616d0000b273d204775aee1f64895edbf09c
2hGh5VOeeqimQFxqXvfCUf,John Coltrane,bebop,https://i.scdn.co/image/ab6761610000e5eb73c7f7505c1af82929ec41df
3NUsiT2JSyaWAnWaXxDzhQ,Dexter Gordon,bebop,https://i.scdn.co/image/6fcfb03ed6c6aba038b2c81e407dbcfb30c7e9df
0ldU0QJm31y0d6f57R1G2A,Oscar Peterson Trio,bebop,https://i.scdn.co/image/ab67616d0000b273947b5cc535d76394a2d98e37
5v74mT11KGJqadf9sLw4dA,Cannonball Adderley,bebop,https://i.scdn.co/image/c9ac5f2db563d4c6635882e09ab6373b871a7c7a
19eLuQmk9aCobbVDHc6eek,Louis Armstrong,adult standards,https://i.scdn.co/image/ab6772690000c46c4a0e9d5e55f9f3721c3243c5
4iRZAbYvBqnxrbs6K25aJ7,The Dave Brubeck Quartet,bebop,https://i.scdn.co/image/b6f7dc3c16f95e6df120af205d4007f518b01e0e
1W8TbFzNS15VwsempfY12H,Charles Mingus,avant-garde jazz,https://i.scdn.co/image/ab6761610000e5ebe43b629d257d42a86c71323d
0RfeqSSdAWX42hlMfDIs8d,The Desmond Quintet,,
2JKqNWMM2Bm0SMIAbfhL8k,Gary Smith,,https://i.scdn.co/image/ab67616d0000b273fc868ad3ce1998d871315f64
6ykfXAed2KOLOMI3R0TZdz,Art Blakey & The Jazz Messengers,bebop,https://i.scdn.co/image/ab6761610000e5eb15d2e63b58988c9102051853
1VEzN9lxvG6KPR3QQGsebR,Sonny Rollins,bebop,https://i.scdn.co/image/7f0edf46ec91ef070e8dd73d442c8f00241416aa
1HJHwWck1EY096ea2iPAHO,Clifford Brown,bebop,https://i.scdn.co/image/143442e601bb160cc58087c669ef199f4f7094ac
4PDpGtF16XpqvXxsrFwQnN,Thelonious Monk,bebop,https://i.scdn.co/image/ab6761610000e5eb8238a10406dfbd483d13f908
375zxMmh2cSgUzFFnva0O7,Wynton Marsalis,classical trumpet,https://i.scdn.co/image/ab6761610000e5eb95c84e26fdeefbfde71709e6
0JM134st8VY7Ld9T2wQiH0,Coleman Hawkins,bebop,https://i.scdn.co/image/ab6761610000e5eb3c0789f0ae8538e9e24a7d15
34W7ZCX0LZeJd8q6boKGOk,Ben Webster,bebop,https://i.scdn.co/image/e007cff62c3265800fb3b5e717d6e9388970aa74
4ytkhMSAnrDP8XzRNlw9FS,Vince Guaraldi Trio,jazz trio,https://i.scdn.co/image/822d7cac5aa9649b2c8a0be5da89567f8b80ca56
0FMucZsEnCxs5pqBjHjIc8,Stan Getz,bebop,https://i.scdn.co/image/ab6761610000e5eb45dd470659deedf47618968e
2JfVCMa3FlvQRlLT5uH9zb,Nancy Wilson,vocal jazz,https://i.scdn.co/image/a1eb2886954d4c6bf9b21878e1326e663ee8fc41
4Ww5mwS7BWYjoZTUIrMHfC,Charlie Parker,bebop,https://i.scdn.co/image/ab6761610000e5eb5642427a0fb3988948c9bec4
795yvukGj0UOfcP8uftDq9,Branford Marsalis Quartet,jazz quartet,https://i.scdn.co/image/041c910f61259c3aba1a824186820d55b5e72aaf
05YVYeV4HxYp5rrWalvuE1,"Grover Washington, Jr.",soul jazz,https://i.scdn.co/image/40f39e48362c76c3c794a28466922e0f405d7b4a
7MSUfLeTdDEoZiJPDSBXgi,Brian Eno,abstract,https://i.scdn.co/image/ab6761610000e5eb5533ce5711f95f0c436b30fe
2AXNDqT86nQcoDCRrjFPGI,"Kundalini: Yoga, Meditation, Relaxation",sleep,https://i.scdn.co/image/ab6761610000e5eb1a68a44368a06b891054882a
6kBDZFXuLrZgHnvmPu9NsG,Aphex Twin,ambient,https://i.scdn.co/image/ab6761610000e5ebadb24a1aca9893ac8afce138
2XcB6oXghaIh416LmtnQ22,Kallabris,free folk,https://i.scdn.co/image/ab67616d0000b273cdeff1411ffdabfa20949b9c
7yxi31szvlbwvKq9dYOmFI,Jon Hopkins,compositional ambient,https://i.scdn.co/image/ab6761610000e5eb7ebcdfc56de761d77733e24e
3DL71JYSG6VREkmLSzfWhU,Efterklang,danish alternative rock,https://i.scdn.co/image/ab6761610000e5eb6d8a221b622956dfd14253e3
1uuPxAWIGGI6a6DhMj8qjr,Stefano Guzzetti,compositional ambient,https://i.scdn.co/image/ab6761610000e5ebcd0affe7ef52bc64642bd594
134GdR5tUtxJrf8cpsfpyY,Elliphant,electropop,https://i.scdn.co/image/ab6761610000e5ebd67511c253c6dd4d51605338
1h6Cn3P4NGzXbaXidqURXs,Swedish House Mafia,edm,https://i.scdn.co/image/ab6761610000e5eb3acc752dbb488a55fffa9af8
3YcHuyrJKhOeX7Ptl28fHM,Pilote,,https://i.scdn.co/image/ab67616d0000b2734182c50dd8f75f7fb0d30a93
0rasA5Z5h1ITtHelCpfu9R,Paul Kalkbrenner,electronica,https://i.scdn.co/image/ab6761610000e5eb09526bad494b6625976c9319
0yLmsf6RBPYqm6hvFJCPg6,Taylor McFerrin,indie jazz,https://i.scdn.co/image/389cc6084715949cb37e41b53c61716c42a5ef31
2JHQIdLnjfyobZpDbVGdKV,aus,j-ambient,https://i.scdn.co/image/ab6761610000e5eb0bd00f08ed8c288751ffafa6
73IRHBhotETMmgvRCEyTCS,CFCF,balearic,https://i.scdn.co/image/ab6761610000e5ebcbf1e8c05c9a804df606eeea
5POYv55NRLzTlbt5GLeCjM,Talkdemonic,folktronica,https://i.scdn.co/image/ab6761610000e5eb5571e596d9138e5c4a7883fd
4bODnAlydTbem2JAjDX52y,Evenings,chillwave,https://i.scdn.co/image/ab6761610000e5ebe60ab143e216eab696015ada
1O3ZOjqFLEnbpZexcRjocn,RJD2,electronica,https://i.scdn.co/image/ab6772690000c46c2e0662f18cc4b8676f3ecedd
4tNxq9NGKTKaX8OkZBLgf0,Nightmares On Wax,bleep techno,https://i.scdn.co/image/ab6761610000e5ebf55522db17a6034ca9a895cf
00G1NTDAoU7rBpjG4KoYAM,DJ Krush,downtempo,https://i.scdn.co/image/4304fc0a160f1db55c533f1e5daad10007e82b5a
57dN52uHvrHOxijzpIgu3E,Ratatat,indietronica,https://i.scdn.co/image/2f0c6c465a83cd196e651e3d4e7625ba799a6f60
3KTzs16kNylBR78QZSkiyx,Metro Area,balearic,https://i.scdn.co/image/ab67616d0000b273080ba0e10d761f44d570f173
25KNo5GDS6ZpLkjasaecA3,Thievery Corporation,downtempo,https://i.scdn.co/image/ab6761610000e5eb3d9378b0995517ff9f4f2354
