id,name,uri,album_image_url,release_date,artist,artist_id,genre
3o6lJwLl13Wq6Vuc7uikCi,"#108 A trajetória da narradora nordestina que está conquistando o Brasil, Faygha Kiss",spotify:episode:3o6lJwLl13Wq6Vuc7uikCi,https://i.scdn.co/image/2f7907e9ad7bfc33da5c7f24c713da2662bc6f87,2019-12-20,Seeking Growth Podcast,0WCLWK0HQbFFqSd4c5lUtp,podcast
6Bj0Oc4QnxXOKQO7NbvM4q,#33 Comprar mais ou vender tudo? Como gestores lidam com seus papéis preferidos,spotify:episode:6Bj0Oc4QnxXOKQO7NbvM4q,https://i.scdn.co/image/cc14045e851894dd0c5eeb1c4c0c43604d83cab8,2019-12-12,Stock Pickers,0OKark671tCbUyszCSs5Ff,podcast
4Gq99llNDwLFS3CU0SvlX0,#32 Luis Stuhlberger: a trajetória do gestor de 17.550%,spotify:episode:4Gq99llNDwLFS3CU0SvlX0,https://i.scdn.co/image/cc14045e851894dd0c5eeb1c4c0c43604d83cab8,2019-12-05,Stock Pickers,0OKark671tCbUyszCSs5Ff,podcast
5sTvAxeOXrltDCIINYHMhO,PrimoCast 49 - Como ficar rico em 2020?,spotify:episode:5sTvAxeOXrltDCIINYHMhO,https://i.scdn.co/image/ab6765630000ba8a66792d23720ec653274f7e2c,2019-12-30,Primocast,2gCj9YG9tjMexhS4pIlRHo,podcast
4NrXWZUUN3gOS3oZrbIUlY,PrimoCast 41 - Como escolher Small Caps para sua carteira,spotify:episode:4NrXWZUUN3gOS3oZrbIUlY,https://i.scdn.co/image/ab6765630000ba8aa47317f635ed3ac9c87e4328,2019-11-04,Primocast,2gCj9YG9tjMexhS4pIlRHo,podcast
4q5ac4YS6Ghnka5AhB9InW,AMBIENT SLEEP MUSIC: Letting Go of Stress (Sleep Meditation) by Sleep Architects - Relaxing ambient music for deep sleep,spotify:episode:4q5ac4YS6Ghnka5AhB9InW,https://i.scdn.co/image/39b482a4661f9b723d6944b0823ca1ded6d91f0b,2019-06-25,Sleep Podcast by Slow | Relaxing Sleep Sounds & Sleep Stories | Nature Sound For Sleep | ASMR,0OqwG23cqvPundxNPArv5Z,podcast
3uZYshI87kLuKrLDtiakqW,Episódio #1 – Nunca foi tão fácil inovar,spotify:episode:3uZYshI87kLuKrLDtiakqW,https://i.scdn.co/image/39cebd3e191e5f5ea4360b9c5c762a9da3da32c2,2019-04-02,Economia Falada,0LOxnhAOW77UFkUhDFAUMV,podcast
278TzGGy1H9OzIBRXWYfwm,Episódio #2 – As transformações tecnológicas estão se acelerando,spotify:episode:278TzGGy1H9OzIBRXWYfwm,https://i.scdn.co/image/ab6765630000ba8abdec62f207fd3ad9502f4ab9,2019-04-04,Economia Falada,0LOxnhAOW77UFkUhDFAUMV,podcast
1K8kS774iQPAeu7i5sz7JI,#93 Guilherme Malheiros,spotify:episode:1K8kS774iQPAeu7i5sz7JI,https://i.scdn.co/image/2f7907e9ad7bfc33da5c7f24c713da2662bc6f87,2019-09-06,Seeking Growth Podcast,0WCLWK0HQbFFqSd4c5lUtp,podcast
05XGjwff5bPmRk2kMsOBpk,PrimoCast 112 - O que está acontecendo com o Brasil? Um papo com Paulo Guedes,spotify:episode:05XGjwff5bPmRk2kMsOBpk,https://i.scdn.co/image/ab6765630000ba8aa2524f10975b37907d717ce7,2021-03-02,Primocast,2gCj9YG9tjMexhS4pIlRHo,podcast
4ikVhQENBBRzm5r6AV5hd1,#16 Paulo Fontana,spotify:episode:4ikVhQENBBRzm5r6AV5hd1,https://i.scdn.co/image/763f110e1aa46cb3fa242ccccc404daa419e98f8,2018-01-04,Endörfina com Michel Bögli,36HedSceb1w6RZTnMCZZRi,podcast
5gD4h0iqRLomOY3g0GtIzQ,SOM DE CHUVEIRO,spotify:episode:5gD4h0iqRLomOY3g0GtIzQ,https://i.scdn.co/image/ab6765630000ba8a680dac87d837bf2b0a0ada3f,2021-07-14,GHF SOUNDS,4TVPr0f5GF2vOg6YlJDQ8x,podcast
57HY0n5bLi8VMHT3l18SKy,Gentle Waterfall Sound 9 Hours,spotify:episode:57HY0n5bLi8VMHT3l18SKy,https://i.scdn.co/image/ab6765630000ba8ad391213ff229be34b47d9c4f,2019-06-19,White Noise Sleep Sounds by Tmsoft,2BdDWHUpDx5CiVYh6F4KIT,podcast
2TD8sRmyli0EeJtgZ7PvPR,White Noise (3 hours continuous) 432 Hz LPF,spotify:episode:2TD8sRmyli0EeJtgZ7PvPR,https://i.scdn.co/image/f05985a70c5b1c0d8702610b07b11cd73f7c8ddc,2020-09-21,Best Noise Labs,5slNbyLCLd1DbVY5p19Liw,podcast
2RT2ygVnNtGPZS5CC3Ugfv,Shower Sounds White Noise 8 Hours | for Relaxation or Stress Relief,spotify:episode:2RT2ygVnNtGPZS5CC3Ugfv,https://i.scdn.co/image/ab6765630000ba8a3846cb3984ed9848f0d69e5b,2020-08-25,Relaxing White Noise,2bAmrw0xKnOhOx4hqSL7vF,podcast
1avKoZSkRISbkHFE3fI3GP,"Rain Sounds for Sleep, Relaxation or Focus 8 Hours",spotify:episode:1avKoZSkRISbkHFE3fI3GP,https://i.scdn.co/image/ab6765630000ba8aad8e5971fb5f01bec080157f,2020-08-26,Relaxing White Noise,2bAmrw0xKnOhOx4hqSL7vF,podcast
6jRviSHHfWaQhKPD0Smm4J,Rain Sound to Sleep and Relax 🌧🌧🌧 8 HOURS 🌧🌧🌧🌧,spotify:episode:6jRviSHHfWaQhKPD0Smm4J,https://i.scdn.co/image/9296f08fce627b2bf7c3d48b564f127e577b006c,2020-12-05,iMalô,4z9fD9tGYw1BMfWz8tgn11,podcast
2SSFqG1Gn2Ze0zDqUWDnIu,"Forest Creek Water Sounds for Stress Relief, Relaxation or Sleep I 8 Hours",spotify:episode:2SSFqG1Gn2Ze0zDqUWDnIu,https://i.scdn.co/image/ab6765630000ba8a2ebc32430dba85a89b7e57aa,2020-08-04,Relaxing White Noise,2bAmrw0xKnOhOx4hqSL7vF,podcast
5xeslcRmU0B9P9WAZnjUun,"Oscillating Fan White Noise 8 Hours | Helps You Sleep, Focus or Study",spotify:episode:5xeslcRmU0B9P9WAZnjUun,https://i.scdn.co/image/ab6765630000ba8a580937dafce483854de379b0,2020-08-05,Relaxing White Noise,2bAmrw0xKnOhOx4hqSL7vF,podcast
5Ei2jPmhjLYle0uu9DR9R3,"Rain Sounds for Relaxation, Focus or Sleep 8 Hours | Nature White Noise",spotify:episode:5Ei2jPmhjLYle0uu9DR9R3,https://i.scdn.co/image/ab6765630000ba8aae61eca238998ee8d670729b,2020-08-06,Relaxing White Noise,2bAmrw0xKnOhOx4hqSL7vF,podcast
0BWt3057urFTc31gJhfIs1,"O passado, presente e o futuro da Engenharia de Dados - Data Hackers Podcast 49",spotify:episode:0BWt3057urFTc31gJhfIs1,https://i.scdn.co/image/ab6765630000ba8a9d510127707c53e41b8027aa,2021-11-19,Data Hackers,1oMIHOXsrLFENAeM743g93,podcast
68QioK0fzaeJriVcykKsi3,Spaceship Sounds White Noise for Sleeping | Starship Bedroom Ambience 8 Hours,spotify:episode:68QioK0fzaeJriVcykKsi3,https://i.scdn.co/image/ab6765630000ba8ace480bd76a98734b8c6e7169,2022-01-15,Relaxing White Noise,2bAmrw0xKnOhOx4hqSL7vF,podcast
